Day,Flow
002,6830
010,3100
016,42200
016,42200
016,9240
059,1870
059,1870
248,476
248,476
248,899
248,899
249,743
249,743
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,1260
251,3330
251,3330
251,3330
251,1260
251,3330
251,3330
251,3330
251,3330
251,3330
251,3330
251,3330
251,1260
251,1260
252,1800
252,1800
252,1800
252,1020
252,1020
252,1020
252,1020
252,1800
253,514
253,514
253,514
253,514
253,514
253,514
254,1300
254,1300
254,1300
254,1300
254,436
254,1300
254,436
254,1300
254,667
254,667
254,667
254,667
254,667
254,1300
254,1300
254,1300
254,1300
254,436
254,667
255,733
255,733
255,801
255,733
255,733
255,733
255,733
255,801
256,566
256,702
256,566
256,566
256,566
256,566
256,566
256,702
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,566
256,760
256,760
256,566
256,760
256,760
256,1710
256,1710
256,1710
256,1710
256,1710
256,1710
256,702
256,702
256,702
256,702
256,702
256,1710
256,1710
256,702
256,702
256,702
256,1710
256,1710
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,702
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,726
257,726
257,697
257,697
257,702
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,697
257,702
257,697
257,697
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,744
258,744
258,744
258,744
258,744
258,744
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,11700
258,647
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,647
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,704
258,704
258,704
258,704
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,1200
258,660
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
258,647
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
259,690
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,349
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
260,976
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,10000
261,472
261,472
261,472
261,472
261,472
261,472
261,10000
261,472
261,764
261,472
261,10000
261,10000
261,764
261,764
261,764
262,574
262,3660
262,3660
262,3660
262,3660
262,3660
262,3660
262,3660
262,3660
262,3660
262,755
262,755
262,574
262,574
262,574
262,3660
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1120
263,1120
263,1120
263,1120
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
263,1950
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
264,2210
