HATCHERY Fall Chinook,HATCHERY  Coho
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
266,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
267,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
268,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
269,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
270,
271,
271,
271,
271,
271,
271,
271,
271,
272,
272,
272,
272,
272,
272,
272,
272,
272,
272,
272,
272,
272,
272,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
273,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
274,
275,
275,
275,
275,
275,
275,
276,
276,
276,
276,
276,
276,
276,
276,
276,
276,
276,
276,
276,
277,
277,
277,
277,
277,
277,
277,
277,
277,
277,
277,
277,
277,
277,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
278,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
279,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
280,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
281,
282,
282,
282,
282,
282,
282,
282,
282,
282,
282,
282,
282,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
283,
284,
284,
284,
284,
284,
284,
284,
284,
284,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
285,
286,
286,
286,
286,
286,
286,
286,
286,
286,
286,
286,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
287,
288,
288,
288,
288,
288,
288,
288,
288,
288,
288,
288,
288,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
289,
290,
290,
290,
290,
290,
290,
290,
290,
290,
290,
291,
291,
291,
291,
291,
291,
291,
291,
291,
291,
291,
291,
292,
292,
292,
292,
292,
292,
292,
293,
293,
293,
293,
293,
293,
294,
294,
294,
295,
295,
295,
295,
295,
295,
295,
295,
295,
295,
296,
296,
296,
297,
297,
297,
297,
297,
298,
298,
299,
300,
302,
305,
305,
305,
305,
305,
307,
